production,sales,demand,population,gdp,disbursement,interest_rate,month,year,yead
347.0,322.0,346.0,122.4,182277.0,60314.0,10.25,Jan,10,2010
306.0,285.0,338.0,122.5,181018.0,61213.92,10.33,Feb,10,2010
236.0,245.0,276.0,122.6,179759.0,62113.83,10.42,Mar,10,2010
234.0,212.0,245.0,122.8,178500.0,63013.75,10.5,Apr,10,2010
296.0,289.0,312.0,122.9,177354.0,63913.67,10.58,May,10,2010
224.0,212.0,215.0,123.1,176208.0,64813.58,10.67,Jun,10,2010
184.0,174.0,181.0,123.2,175062.0,65713.5,10.75,Jul,10,2010
193.0,200.0,216.0,123.3,177418.0,66613.42,10.83,Aug,10,2010
169.0,152.0,178.0,123.5,179774.0,67513.33,10.92,Sep,10,2010
200.0,214.0,215.0,123.6,182130.0,68413.25,11.0,Oct,10,2010
335.0,314.0,327.0,123.8,187433.0,69313.17,11.08,Nov,10,2010
458.0,400.0,423.0,123.9,192736.0,70213.08,11.17,Dec,10,2010
391.0,374.0,354.0,124.1,198039.0,71113.0,11.25,Jan,11,2011
397.0,344.0,378.0,124.2,194285.0,72057.92,11.42,Feb,11,2011
306.0,300.0,325.0,124.3,190531.0,73002.83,11.58,Mar,11,2011
313.0,323.0,336.0,124.5,186777.0,73947.75,11.75,Apr,11,2011
315.0,292.0,284.0,124.6,188085.0,74892.67,11.92,May,11,2011
270.0,280.0,295.0,124.8,189393.0,75837.58,12.08,Jun,11,2011
213.0,225.0,215.0,124.9,190701.0,76782.5,12.25,Jul,11,2011
184.0,165.0,192.0,125.1,192375.33,77727.42,12.42,Aug,11,2011
234.0,191.0,219.0,125.2,194049.66,78672.33,12.58,Sep,11,2011
251.0,243.0,250.0,125.3,195723.99,79617.25,12.75,Oct,11,2011
591.0,523.0,553.0,125.5,198526.99,80562.17,12.92,Nov,11,2011
548.0,520.0,531.0,125.6,201329.99,81507.08,13.08,Dec,11,2011
560.0,565.0,570.0,125.8,204132.99,82452.0,13.25,Jan,12,2012
538.0,523.0,532.0,125.9,199377.32,83285.58,13.06,Feb,12,2012
347.0,403.0,386.0,126.0,194621.65,84119.17,12.88,Mar,12,2012
366.0,334.0,353.0,126.2,189865.98,84952.75,12.69,Apr,12,2012
386.0,350.0,349.0,126.3,188622.98,85786.33,12.5,May,12,2012
300.0,291.0,312.0,126.5,187379.98,86619.92,12.31,Jun,12,2012
234.0,236.0,259.0,126.6,186136.98,87453.5,12.13,Jul,12,2012
266.0,262.0,261.0,126.7,188780.98,88287.08,11.94,Aug,12,2012
287.0,278.0,286.0,126.9,191424.98,89120.67,11.75,Sep,12,2012
303.0,291.0,300.0,127.0,194068.98,89954.25,11.56,Oct,12,2012
445.0,423.0,453.0,127.2,199371.98,90787.83,11.38,Nov,12,2012
589.0,569.0,576.0,127.3,204674.98,91621.42,11.19,Dec,12,2012
591.0,580.0,580.0,127.4,209977.98,92455.0,11.0,Jan,13,2013
593.0,591.0,591.0,127.6,206223.98,93565.42,10.94,Feb,13,2013
400.0,404.0,403.0,127.7,202469.98,94675.83,10.88,Mar,13,2013
425.0,414.0,419.0,127.9,198715.98,95786.25,10.81,Apr,13,2013
401.0,375.0,392.0,128.0,197296.65,96896.67,10.75,May,13,2013
403.0,391.0,398.0,128.1,195877.32,98007.09,10.69,Jun,13,2013
311.0,304.0,308.0,128.3,194457.99,99117.5,10.63,Jul,13,2013
291.0,221.0,221.0,128.4,195795.32,100227.92,10.56,Aug,13,2013
323.0,344.0,335.0,128.6,197132.65,101338.34,10.5,Sep,13,2013
309.0,291.0,298.0,128.7,198469.98,102448.75,10.44,Oct,13,2013
625.0,603.0,605.0,128.8,202022.31,103559.17,10.38,Nov,13,2013
600.0,614.0,610.0,129.0,205574.64,104669.59,10.31,Dec,13,2013
592.0,584.0,600.0,129.1,209126.97,105780.0,10.25,Jan,14,2014
611.0,590.0,600.0,129.2,209277.64,106162.84,10.25,Feb,14,2014
437.0,412.0,422.0,129.4,209428.31,106545.67,10.24,Mar,14,2014
413.0,403.0,408.0,129.5,209578.98,106545.67,10.24,Apr,14,2014
411.0,397.0,398.0,129.7,208023.31,106928.5,10.24,May,14,2014
435.0,423.0,426.0,129.8,206467.64,107311.34,10.24,Jun,14,2014
325.0,313.0,312.0,129.9,204911.97,107694.17,10.23,Jul,14,2014
314.0,309.0,308.0,130.1,205460.637,108077.0,10.23,Aug,14,2014
302.0,314.0,298.0,130.2,206009.304,108459.84,10.23,Sep,14,2014
300.0,301.0,285.0,130.3,206557.971,108842.67,10.22,Oct,14,2014
612.0,621.0,618.0,130.5,209098.638,109225.5,10.22,Nov,14,2014
575.0,530.0,538.0,130.6,211639.305,109608.34,10.22,Dec,14,2014
531.0,503.0,531.0,130.7,214179.972,110374.0,10.22,Jan,15,2015
663.0,651.0,384.6,130.9,215537.639,113291.5,10.15,Feb,15,2015
400.0,380.0,374.6,131.0,216895.306,116209.0,10.08,Mar,15,2015
392.0,380.0,364.7,131.1,218252.973,119126.5,10.01,Apr,15,2015
382.0,375.0,354.8,131.2,214098.643,122044.0,9.94,May,15,2015
413.0,404.0,344.9,131.4,209944.313,124961.5,9.88,Jun,15,2015
314.0,308.0,335.0,131.5,205789.983,127879.0,9.81,Jul,15,2015
323.0,314.0,325.0,131.6,209342.983,130796.5,9.74,Aug,15,2015
311.0,343.0,325.0,131.8,212895.983,133714.0,9.67,Sep,15,2015
318.0,313.0,316.0,131.9,216448.983,136631.5,9.6,Oct,15,2015
609.0,591.0,592.0,132.0,219246.983,139549.0,9.54,Nov,15,2015
529.0,522.0,524.0,132.1,222044.983,142466.5,9.47,Dec,15,2015
583.0,574.0,575.0,132.3,224842.983,145384.0,9.4,Jan,16,2016
520.0,512.0,512.0,132.4,228075.65,147537.58,9.37,Feb,16,2016
381.0,322.0,372.0,132.5,231308.317,149691.17,9.33,Mar,16,2016
