country,continent,population,cases_100k,deaths_100k,recoveries_100k,active_cases_100k,tests_100k
USA,America do Norte,334805269.0,31121.63,338.39,30263.2,520.05,346420.08
India,Asia,1406631776.0,3176.58,37.73,3138.72,0.12,65067.9
France,Europa,65584518.0,60264.7,250.41,59868.62,145.66,413954.69
Germany,Europa,83883596.0,45038.4,197.55,44583.33,257.53,145835.88
Brazil,America do Sul,215353593.0,17099.59,323.69,16679.25,96.65,29614.63
Japan,Asia,125584838.0,25949.34,54.46,17173.59,8721.29,73372.42
S. Korea,Asia,51329899.0,58829.39,65.24,57940.65,823.5,30789.2
Italy,Europa,60262770.0,42238.0,310.03,41509.85,418.12,440534.42
UK,Europa,68497907.0,35438.11,298.07,35066.89,73.14,762835.68
Russia,Europa,145805947.0,15060.22,270.98,14646.87,142.37,187509.5
Turkey,Europa,85561976.0,19918.57,118.62,17543.05,68339.73,190205.25
Spain,Europa,46719142.0,29391.55,253.5,29019.58,118.46,1008229.83
Vietnam,Asia,98953541.0,11648.4,43.64,10724.71,880.05,86734.19
Australia,Oceania,26068792.0,43329.38,71.41,43100.47,157.51,302411.59
Argentina,America do Sul,46010234.0,21815.01,283.46,21467.03,64.51,77626.36
Taiwan,Asia,23888595.0,40059.33,68.47,38218.1,1772.77,126451.49
Netherlands,Europa,17211447.0,49865.07,133.57,49663.29,68.21,150971.82
Iran,Oceania,86022837.0,8793.42,168.27,8529.77,95.38,63263.18
Mexico,America do Norte,131562772.0,5600.56,252.5,5021.66,326.4,14712.52
Indonesia,Asia,279134505.0,2411.13,57.61,2351.99,1.53,40897.46
Poland,Europa,37739785.0,16905.83,314.62,14138.77,2452.45,101003.83
Colombia,America do Sul,51512762.0,12339.29,276.6,11996.06,66.63,71732.72
Austria,Europa,9066710.0,63752.22,239.22,63200.31,312.69,2330211.55
Greece,Europa,10316637.0,55331.03,345.36,54884.28,101.38,990907.84
Portugal,Europa,10140570.0,54867.79,256.61,54556.76,54.42,452791.62
Ukraine,Europa,43192122.0,12433.13,257.04,12162.64,13.45,75485.54
Chile,America do Sul,19250195.0,26591.84,331.49,26241.58,18.77,250009.42
Malaysia,Oceania,33181072.0,15179.11,111.33,15038.28,29.5,203926.77
Israel,Asia,9326000.0,51320.92,130.74,51128.48,61.7,443634.61
DPRK,Asia,25990679.0,18363.56,0.28,18363.27,350.12,213157.79
Thailand,Asia,70078203.0,6745.3,48.32,6696.28,0.69,24645.0
Belgium,Europa,11668278.0,40207.3,287.59,39806.05,113.65,313229.97
Czechia,Europa,10736784.0,42750.41,394.08,42268.75,87.58,529890.73
Canada,America do Norte,38388419.0,11853.2,131.24,11576.44,145.52,172820.67
Peru,America do Sul,33684208.0,13304.81,649.95,12642.98,11.88,112083.99
Switzerland,Europa,8773637.0,49987.26,164.72,49771.49,51.05,265781.94
